Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
uZZU3bNAXhArWaMRbMMJrrJSPCWuGdSYN9qSFCpWsGcUt4mCGZoAoRr6nzbuyjiPAeCkNJPh8oAKJwuuxbNmjui,1767677260,2026-01-06T05:27:40.000Z,TRANSFER,7WhMmkuJ6iAvgBmTxKeYMAjH4AXyUW5aaqDxSVamvKaN,AstaWuJuQiAS3AfqmM3xZxrJhkkZNXtW4VyaGQfqV6JL,195485617997,in,187.84,6,CSCmw1b4wfD8nafnGRGCpGKXdo53k9ZoPbWquLLa2D5a,1.0
51w3HLAyoYNPGBqwqhF6YgXQ1PdX8Ar2iSDmTeHm3cjxFGKq1SLktchFcDJbRW6Sirem8sAfBbm7HbMSTpuQmHrP,1767677203,2026-01-06T05:26:43.000Z,TRANSFER,2ougJmZ88EP3bPaRdtTZhrVQrpi7ozVUNG8TuoKMznyc,AstaWuJuQiAS3AfqmM3xZxrJhkkZNXtW4VyaGQfqV6JL,134576071209,in,162.82,6,GHeTNn7y4Q8oy7en5tsyDLZXwYf4xaoSqEU1RQn58eiS,1.0
5VSErvoQSw2HE9XXoVg8drRvo9pXDB6qVYzuFPS4kaWjnXECC9SV1i2DJq6TAPFbtz9S5uzD9ws3XvD6xfEWKn9c,1767677148,2026-01-06T05:25:48.000Z,TRANSFER,3f62QSAiYfesZ26X6dtDwi35hbucYPjkThXjP5rcs8AD,AstaWuJuQiAS3AfqmM3xZxrJhkkZNXtW4VyaGQfqV6JL,109626871499,in,191.93,6,7xVPvzcc8ao2D4FGVBfr2dGY6B3B4CZJmxVXBTFbZfy5,1.0
89wwxyxb4DaUdnRpDnJtEajp7dE6acxSFSKeKaQQx7zNeUmi2a6UfhMbX8bshHa4ZDZW8QYs2X4uJcJ7ZA6FKQp,1767672925,2026-01-06T04:15:25.000Z,TRANSFER,AstaWuJuQiAS3AfqmM3xZxrJhkkZNXtW4VyaGQfqV6JL,axmQTWU68qZ4fuG7zzkCXCBmxxeHVZrNrLkgxEFCbRv,5000000,out,0.6932,9,SOL,1.0
89wwxyxb4DaUdnRpDnJtEajp7dE6acxSFSKeKaQQx7zNeUmi2a6UfhMbX8bshHa4ZDZW8QYs2X4uJcJ7ZA6FKQp,1767672925,2026-01-06T04:15:25.000Z,TRANSFER,AstaWuJuQiAS3AfqmM3xZxrJhkkZNXtW4VyaGQfqV6JL,BfFX9rUm8qTZiZjmeq9BktWVTNuG3YWMc5AvkrCKJike,300000000,out,41.59,9,SOL,1.0
89wwxyxb4DaUdnRpDnJtEajp7dE6acxSFSKeKaQQx7zNeUmi2a6UfhMbX8bshHa4ZDZW8QYs2X4uJcJ7ZA6FKQp,1767672925,2026-01-06T04:15:25.000Z,CLOSE ACCOUNT,AstaWuJuQiAS3AfqmM3xZxrJhkkZNXtW4VyaGQfqV6JL,AstaWuJuQiAS3AfqmM3xZxrJhkkZNXtW4VyaGQfqV6JL,2039280,out,0.2827,9,SOL,1.0
89wwxyxb4DaUdnRpDnJtEajp7dE6acxSFSKeKaQQx7zNeUmi2a6UfhMbX8bshHa4ZDZW8QYs2X4uJcJ7ZA6FKQp,1767672925,2026-01-06T04:15:25.000Z,TRANSFER,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,AstaWuJuQiAS3AfqmM3xZxrJhkkZNXtW4VyaGQfqV6JL,212785869766946,in,3426.73,9,AzVCECC5zr21ikYQne4Xtoh3SVg848duPHUHb3M7bonk,1.0
89wwxyxb4DaUdnRpDnJtEajp7dE6acxSFSKeKaQQx7zNeUmi2a6UfhMbX8bshHa4ZDZW8QYs2X4uJcJ7ZA6FKQp,1767672925,2026-01-06T04:15:25.000Z,TRANSFER,AstaWuJuQiAS3AfqmM3xZxrJhkkZNXtW4VyaGQfqV6JL,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,4097289368,out,4103.69,6,USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,1.0
89wwxyxb4DaUdnRpDnJtEajp7dE6acxSFSKeKaQQx7zNeUmi2a6UfhMbX8bshHa4ZDZW8QYs2X4uJcJ7ZA6FKQp,1767672925,2026-01-06T04:15:25.000Z,TRANSFER,AQAGYQsdU853WAKhXM79CgNdoyhrRwXvYHX6qrDyC1FS,AstaWuJuQiAS3AfqmM3xZxrJhkkZNXtW4VyaGQfqV6JL,4097289368,in,4103.69,6,USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,1.0
89wwxyxb4DaUdnRpDnJtEajp7dE6acxSFSKeKaQQx7zNeUmi2a6UfhMbX8bshHa4ZDZW8QYs2X4uJcJ7ZA6FKQp,1767672925,2026-01-06T04:15:25.000Z,TRANSFER,AstaWuJuQiAS3AfqmM3xZxrJhkkZNXtW4VyaGQfqV6JL,AQAGYQsdU853WAKhXM79CgNdoyhrRwXvYHX6qrDyC1FS,29700000000,out,4117.36,9,So11111111111111111111111111111111111111112,1.0
